episode,return_per_episode,num_frames_per_episode
1,-378.0,40.0
2,-378.0,40.0
3,-378.0,40.0
4,-378.0,40.0
5,-378.0,40.0
6,-378.0,40.0
7,-307.0,25.0
8,-307.0,25.0
9,-307.0,25.0
10,-307.0,25.0
11,-307.0,25.0
12,-307.0,25.0
13,-209.5,16.0
14,-209.5,16.0
15,-209.5,16.0
16,-209.5,16.0
17,-209.5,16.0
18,-209.5,16.0
19,-319.0,32.0
20,-319.0,32.0
21,-319.0,32.0
22,-319.0,32.0
23,-319.0,32.0
24,-319.0,32.0
25,-166.5,12.0
26,-166.5,12.0
27,-166.5,12.0
28,-166.5,12.0
29,-166.5,12.0
30,-166.5,12.0
31,-391.0,34.0
32,-391.0,34.0
33,-391.0,34.0
34,-391.0,34.0
35,-391.0,34.0
36,-391.0,34.0
37,-300.0,1.0
38,-300.0,1.0
39,-300.0,1.0
40,-300.0,1.0
41,-300.0,1.0
42,-300.0,1.0
43,-364.5,7.0
44,-364.5,7.0
45,-364.5,7.0
46,-364.5,7.0
47,-364.5,7.0
48,-364.5,7.0
49,-335.5,6.0
50,-335.5,6.0
51,-335.5,6.0
52,-335.5,6.0
53,-335.5,6.0
54,-335.5,6.0
55,-354.0,28.0
56,-354.0,28.0
57,-354.0,28.0
58,-354.0,28.0
59,-354.0,28.0
60,-354.0,28.0
61,-236.0,18.0
62,-236.0,18.0
63,-236.0,18.0
64,-236.0,18.0
65,-236.0,18.0
66,-236.0,18.0
67,348.5,40.0
68,348.5,40.0
69,348.5,40.0
70,348.5,40.0
71,348.5,40.0
72,348.5,40.0
73,-397.5,11.0
74,-397.5,11.0
75,-397.5,11.0
76,-397.5,11.0
77,-397.5,11.0
78,-397.5,11.0
79,-334.5,36.0
80,-334.5,36.0
81,-334.5,36.0
82,-334.5,36.0
83,-334.5,36.0
84,-334.5,36.0
85,-598.0,43.0
86,-598.0,43.0
87,-598.0,43.0
88,-598.0,43.0
89,-598.0,43.0
90,-598.0,43.0
91,-302.0,31.0
92,-302.0,31.0
93,-302.0,31.0
94,-302.0,31.0
95,-302.0,31.0
96,-302.0,31.0
97,493.0,21.0
98,493.0,21.0
99,493.0,21.0
100,493.0,21.0
101,493.0,21.0
102,493.0,21.0
103,-343.5,7.0
104,-343.5,7.0
105,-343.5,7.0
106,-343.5,7.0
107,-343.5,7.0
108,-343.5,7.0
109,-678.0,33.0
110,-678.0,33.0
111,-678.0,33.0
112,-678.0,33.0
113,-678.0,33.0
114,-678.0,33.0
115,377.0,34.0
116,377.0,34.0
117,377.0,34.0
118,377.0,34.0
119,377.0,34.0
120,377.0,34.0
121,-415.0,46.0
122,-415.0,46.0
123,-415.0,46.0
124,-415.0,46.0
125,-415.0,46.0
126,-415.0,46.0
127,-372.5,34.0
128,-372.5,34.0
129,-372.5,34.0
130,-372.5,34.0
131,-372.5,34.0
132,-372.5,34.0
133,-278.0,30.0
134,-278.0,30.0
135,-278.0,30.0
136,-278.0,30.0
137,-278.0,30.0
138,-278.0,30.0
139,360.5,35.0
140,360.5,35.0
141,360.5,35.0
142,360.5,35.0
143,360.5,35.0
144,360.5,35.0
145,-347.0,6.0
146,-347.0,6.0
147,-347.0,6.0
148,-347.0,6.0
149,-347.0,6.0
150,-347.0,6.0
151,-185.0,11.0
152,-185.0,11.0
153,-185.0,11.0
154,-185.0,11.0
155,-185.0,11.0
156,-185.0,11.0
157,-445.5,19.0
158,-445.5,19.0
159,-445.5,19.0
160,-445.5,19.0
161,-445.5,19.0
162,-445.5,19.0
163,-274.0,28.0
164,-274.0,28.0
165,-274.0,28.0
166,-274.0,28.0
167,-274.0,28.0
168,-274.0,28.0
169,-116.5,7.0
170,-116.5,7.0
171,-116.5,7.0
172,-116.5,7.0
173,-116.5,7.0
174,-116.5,7.0
175,325.0,36.0
176,325.0,36.0
177,325.0,36.0
178,325.0,36.0
179,325.0,36.0
180,325.0,36.0
181,-341.5,31.0
182,-341.5,31.0
183,-341.5,31.0
184,-341.5,31.0
185,-341.5,31.0
186,-341.5,31.0
187,-427.0,13.0
188,-427.0,13.0
189,-427.0,13.0
190,-427.0,13.0
191,-427.0,13.0
192,-427.0,13.0
193,437.5,32.0
194,437.5,32.0
195,437.5,32.0
196,437.5,32.0
197,437.5,32.0
198,437.5,32.0
199,-364.5,6.0
200,-364.5,6.0
